0,toxic
"your donation will fund wikia , inc , which is not a charity your non profit donation will ultimately line the for profit pockets of jimmy wales , amazon , google , the bessemer partners , and other corporate beneficiaries how \? wikipedia is a commercial traffic engine as of december num , there are over num , num external links from wikipedia to wales' wikia com sites , which are funded by google adsense revenues did you know that amazon invested num , num , num in the for profit wikia venture \? it 's therefore rather interesting that there are over num , num links to amazon 's retail site from the supposedly non profit wikipedia site is n't it \? meanwhile , did you know that the popular movie site imdb com is owned by amazon , and you can buy amazon products directly from imdb pages \? well , surprise surprise there are nearly num , num links to amazon 's imdb site from wikipedia no wonder amazon particularly wished to invest in wikia , inc its co founder makes sure that the external linking environment on wikipedia is hospitable for the amazon link spamming machine ! now here is the really fascinating thing if you go to jimmy wales' talk page on wikipedia , and you ask him whether he feels that this obscene number of links to his for profit site and those of his investors might be a conflict of interest or self dealing , jimbo wo n't even have time to respond one or two of his sycophants will fairly promptly dismiss or erase your message and if you try one more time to ask this question , you 're likely to get blocked from editing wikipedia altogether go ahead , try it truth hurts guys try thinking with your brain instead of following like an sheep , keep checking all sites for the above text proxys next \)",1
hello nawlins why do you like to deflower prepubescent girls \? don t you know that s a felony \?,1
"real good article , but the tone seems to demonize the demonizers ! ! i would start out by saying that all human beings have both good and evil characteristics , while demons are just evil also , the need to demonize is shown in warfare where you must make your enemy evil in order to happily kill him",1
"hello please remove inapproriate language from your edit here before you want someone to discuss that with you thanks wiki me up ok ! great ! which part exactly is inappropriate and by whose standards exactly \? thanks let me know , so that i can do whatever it is that you command demand of me and the words that you want removed , please let me know what i can should am allowed to replace them with \? thanks for your help ! and your concern ! much appreciated ! thanks ! \( \)",1
boloocks was it nonconstructive get a degree in electronics first bfore saying that you ignoramus,1
"what gives you the right to control edit wikipedia \? qualifications \? or are you a self appointed , sad individual who cannot 'make it' in the real world and feels that you must be the 'big guy' on the internet \? you are the epitome of what is wrong with wikipedia",1
"angela needs to get out of her little box angela is hiding from reality , yeah you know that girl with her picture on her page , and face the music that i am planning on giving her the red card , she has been offensive in every way and since she has the barn star award i am upping it by giving her the dumb idiots award thanks",1
i cannot believe this what the k if you continue to do this i will have to take some drastic measures watch your step it may be your last,1
warning me if you dare to warn me i dont really give a rip i will delete them and keep on deleteing them i am making a new account so bhaha,1
"hey homo why were you undoing my edits it 's a well known fact that western black rhinos are also called wet titties among certain communities on the eastern side of africa , and my girth is definitely num num num m wide with a height of num num num numm when flaccid with a mass of num num kg just because you 're jealous of my massive pole does n't mean you should undo my edits",1
"double standard so , when someone accuses me of vandalism for posting information they do n't like , that 's ok when i point out that it 's censorship like found in num 's nazi germany , you accuse me of making a personal attack \? the problem with both of you is that you put politics ahead of truth , and you are precisely the reason why wikipedia has zero credibility on any topic that has an impact on politics because of you and all of the others in the politically correct mafia who go around with a campaign of intimidating anyone who does n't toe the party line it 's a crock of shit , and you know it",1
aww looks like someone forgot num say please and just who the hell are you probably just some regular usar doing a good deed,1
"any time that you gang up on people you do n't like , with other jews as a collaborative effort , you are violating npov and is wikipedia gaming the system you foment unrest and aggravation by your trolling your ad hominem reverts are based on those who are not jewish or your brand of jewish do n't be a hypocrite , because ypu 're speculating on witkacy 's motives when you are suspected of harbouring ulterior motives yourself you are hardly in a position to judge or guess this apathetic way of dealing with everybody on wikipedia is also a violation of wp civility and wp point nobody carews about how tough you think you are and how much you can push people around everything you are doing in effect is breaking wp npa the two pages on vfd are pushed because they only violate the will of certain jews",1
"hey bishonen hey dude , thanks for your concern r e the abu saga \( or as i like to call it the abu graib saga ! \) basically , i just overheated a little when he systematically went through all of my edits images to see if they were 'fair use' or not i mean god , what a sad existence the guy must have ! jesus christ , what a loser ! i'm surprised he did n't answer my questions though , and felt the need to come crawling to 'the feds' there was me thinking he wanted to be a cop guess he 's not cut out for it ! still i 'll follow your advice and stay civil you never know when henry kissinger 's going to drop in do you \? twat",1
"thats hardly an attack , see wp spade your constant barrage of idiocy is however coming close to what i would consider a personal attack by way of insulting my intelligence",1
"sources people , no propaganda the following comments have been deleted the band promotes croatian patriotism and ultra nationalism , and sings about topics such as the love for one 's country , family and religion , but also about the hatred of serbs and croatian social democrats dealing with such topics has made the band controversial perkovi has been known to openly promote usta a ideology because he wears black clothes , salutes in the corresponding way and had often openly supported the usta e and the ndh in his statements to the media ultra nationalism \? ultra nationalism means that you want to destroy everything that is not of your nation while patriotism means that you love your own nation , but you respect others where in his songs does he promote hate to other nations \? and no mentioning songs created in time of war against the serbs , because it was the time of war and only mention songs written by him not what he is accused of performing hatred toward sdp \? where \? name source he is right wing , that si widely known of course he disagrees with their politics and he considers their politics bad for croatia , but hatred \? reliable source please where does he promote openly ustashe \? citation please because he wears black clothes \? are all rockers ustashe \? by this , rock 'n' roll is equal fascism he is a rock singer , of course he wears black clothes salute he uses is an old salute of croatian nobles , that existed long before ustashe despite this , his statements confirming his support for the usta e actually outnumber his denouncements of this virtual nsdap equivalent \( he is noted to have publicly voiced his support for the ndh , in various degrees , to the media on at least twenty occasions \) his credibility in these statements is diminished not only by this fact but also by the legal necessity to denounce any fascist movement in order to avoid further banning \( or other legal action \) again , i see that this is already discussed feral is not reliable , its a tabloid only reliable newspapers should be used and these quotations in feral , while they may be true , there are no links to check the meaning , because they may be taken out of contest , and they could have totally fifferent meaning ii their original contest this is not reliable and one more question a couple of months ago i translated two perkovic 's statements in jutarnji list and vecernji list i 've put relevant sources , links to that articles and a picture was there also someone deleted all this without giving explanation on the discussion page this is not what wikipedia is about any change must be explained shame on anyone who uses this kind of sneaky methods",1
"of course not 'patrons' , as you so kindly put it , are , for the most part , an assorted bunch of hobos , wash outs , and other generally unemployed and more or less perpetually starving people , such as hollywood star wannabees",1
"article reorganization there is a confusion between the different definitions of heterosexuality i think this article should be worded more like the homosexuality article , which distinguishes between homosexual orientation and same sex relationships likewise , there needs to be a distinction between people with a heterosexual orientation and people who have sexual relationships with people of the opposite gender i think if we reorganize the page like the homosexual page this distinction would be more clear for example , it would make clear that reproduction results from heterosexual sex , not from a heterosexual orientation on the other hand , the causality section is mostly about the development of a heterosexual orientation that crucial element is n't clear i am going to start reorganizing it like the homosexuality page",1
"60 years it says haywirs prison sentence is for num years , i know this is true but how old was he when he went to prison , how old when he killed his parents \?",1
deforimity does she have deformity i 've never seen an uglier person in my life please explain ! \?,1
"he thinks they are copyright violation pity him , he is sicko !",1
"homosexuality and the punishment being equal to adultery are we sure that al qaradawi said that people who commit homosexual acts should be stoned , as the wikipedia article currently asserts \? it all depends on the arabic words he used if he said the punishment should be the same as those who commit zinnah , then it 's num lashes for those who are unmarried and stoning to death for those who are married that 's not the same as saying all homosexuals should be stoned num num num num",1
homophobia should n't there be a section about him being the butt of homophobic jokes because of his dress sense and high pitched voice,1
"stop being a frog in the well geek puss i have provided reliable evidence of yadavs being chandravanshi khastriyas some scholars agree and some dont the article main introduction is itself is not good thats what we are trying to correct understand that dont be a frog in the well geek puss , , you are being biased stop being a senseless jackpuss the article needs to mention the word chandravansh khastriyas",1
"who removed my comment \? you are an obvious sock , and i urge you to quit now before i report you",1
"num \( utc \) wrong , bananas can be used do n't use an over ripe one if you are finding it to be too soft , remember even a fully erect and hard cock is not that hard ! some girls think the trick of putting a peeling banana inside a condom is the best way to simulate the real life cock for it 's feel talk num num , num december",1
fanny does as well poo,1
"plus do something elss instead of changing the number of hazara people is that your only mission to keeping changing and interfering of hazara populations you can do better and why hazara since when become importent to you to track our numbers i will let you know this we are muslims and its shame to put each other or look each other down , just remember pakistani's already don't have enough friends and so take my advise and don't interfear others populations ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !",1
this pink tulip let me tell you somethin terri schiavo talk page ai n't gonna have too many more archives piling up her area 'cause she is ded and 'cause good ol' pink tulip is getting everyone to get it all out of their systems and then gettin' 'em to shut up and to get back to work of documenting what happened 'n lettin' it go at that we are pounding this with a sledge hammer to pulverize and masticate or organize the information until we are all sick in the stomach about it and that job is done ! you should try that too before you go pilin' up too many more archives of silly assed cussin' 'n hurt feelins and who knows what else let me direct your attention to the recently increased size of category terri schiavo that did not happen by accident,1
"dude , i am num , and possess degrees in philosophy , science and theologyfrom notre dame , not from a vo tech where you likely went after finally getting your ged you offer rejoinders to my points without ever having addressed them clearly you are unfamiliar with pope john xxiii , the pontiff who facilitated vatican ii in the early num 's , and who intentionally refused to refer to the catholic church as the roman catholic church it is equally patently obvious you know nothing about father mcbrien or charles whitehead are you incapable of reading above a fifth grade level , or do you just lack the capacity for intelligent thought \? what 's most remarkable is that rather than take solace in your own self assured beliefs , you repeatedly return to this forum in a juvenile effort to have the last word i have one last word for you chill again , grow up and grow deep we in the catholic church forgive you for your obstinance and your ignorance",1
guess what you incompetent american flabbergassed dodo bird i think you should do a bit of research but you still wont find the informatoin i know for my family members are in tarsus clubs you low iq idoit id say num percent are facts shutterd out the the general public now sorry lonely internet num year old i have to go m,1
"the problem started , when this propgandist deleted my comments ! which is not allowed i was responding to a personal attack on me ! i dont see newtman being warmed , is it because you all are also zionist jews \? i think so and do not accuse me of being antisemitic , because it is not , i am anti israel , and antizionist for the right reasons , which include policies ! zionism is as worse , or even worse and islamic fundamentalism86 num num num",1
your quite welcome you deserve it dog,1
"thank you for being a poopie pants all my base are belong to yooioooooooooooooooooooooooooooooooou many people with poopie pants \( like you \) use their poopie pants to aid in the create process , other people try to imitate poopie pants , but are unsuccessful in shitting themselves \( like me \) anyway , psychologist study people who crap in their drawers for fun and pleasure as well as generating academic journal articles two foremost researchers in this field are rachel bishop and meagan p storey they may enjoy eating poop",1
that 's the most ridiculous thing i 've ever heard let 's say you had an important point to discuss about an article and so you posted on the discussion page would n't you think it 's weird annoying uncalled for rude for someone to just go in and delete your discussion items and what if this happened to you about num times in one day \?,1
"tony sidaway the article jim nussle has been repeatedly vandalized for partisan purposes by right wing republicans , or rather one such republican and his various sock puppets then this right wing goon of an admin intrudes himself to state it mildly , i am apoplectically angry at the sonofabitch to respond to your message was your partial blanking of user talk tony sidaway intentional , or an accident \? num mongo i would seem to have been",1
"that last link you gave me does not make sense oh , i checked out pages you have created there are barely any citations on them , but no one has said anything corrupt ! ! !",1
"i did n't vandalise any page , i actually restored the ouca info page to its orignal state you jerk",1
"jog on hitler , nobody wants to hear from you",1
"when a member of the yehudim faith opens wikipedia this is how they are to be greeted \? ! \? ! \? ! a picture of the evil aryan races number num this is disgusting ! ! ! anyone who advocates an article which praises any form of nazism aryan pride is a nazi and must be sought out and named and shamed ! ! ! we cannot allow any issues defended under the nazi flag ! ! ! i will be taking this further , anyone who supports or supported this pathetic excuse for an article will get theirs ! ! ! num num num num",1
"i do n't know how else to say this the article should stay up while you fix it also , edit comments like 'kill yourself bitch' will probably get you banned on the spot",1
"mjroots , is this some kind of wiki moderators joke \? ! how you think , for a man using such coarse language , like me , if i care if you blocked me or not \? ! rather , the question is are you num num num num \? i already took to doubt in your mental health here and with good and with bad you still do not receive please stop with these loutish jokes if you want block me forever tell mandruss it is strange that he left in transasia airways flight num talk page section this data from fdr are fake ! but to delete all technical information that i put there and that showed that the pilots were not wrong in their actions but feathering system give them no chance at all i do n't know why he do it may be to make me look like nut \? ! ask him what happen with one month report from authorities that had to show the results from investigation \? i'm not nut and i know for what i'm talking about even with my broken english question is do you know for what you talking about with your perfect english \? !",1
"was there any point to your sarcastic , nasty remark \?",1
this is your last warning im warning u respond to my earlier comment u deleted it on purpose because ur to lazy to answer it,1
"deletionism is poisoning the wells that everyone are drinking from dear jimbo , i recently wrote a post on my facebook account based on what i wrote to a deletionist who deleted olamot con because a different deletionist marked it for speedy deletion , before i had a chance to work on it further and address their concerns here is the link https en wikipedia org wiki user talk freerangefrog a big fuck you to you numc scum of the earth num num num you are not a gentleman num num num wikipedia deletionists like him are poisoning the wells of everyone and demotivate people considerably you should speak against them now ! ! !",1
why do you edit user mikenorton talk pages why do you \? are you a sock puppett \?,1
i am growing very weary of the flawed logic behind these increasingly fascistic policies wikipedia is slowly becoming a banana republic and we all know that banana republics are prone to revolutions and coups cj marsicano,1
"firebombing i 'll see you tonight fellow brother white power ! it 's going to be sweet , we 're going to linch some jews , burn some crosses , and take turns fucking billy bob 's sister it 's on for tonight , bring the beer , the gasoline , and of course the rope by the way , you better not talk to that chink on numth street he and his people are taking ar joooobs ! may the lord protect you until num tonight and then we 're going to have some fun white power brother ! ! ! ! !",1
personal note please read wp spoiler before making a dick move like that,1
i'm happy to announce that i'm back online with my dynamic ip i can easily bypass your blocks wiki pedos,1
well you are a lier chat,1
stalker stay off my talk page and articles just because nobody wants to read about the nonsense your talking about does n't mean you have the right to go and try to delete me article how about you stick to nursing or whatever you do and leave me alone i'm going to make millions one day and i do n't have the time to worry about stupid people like you trying to get in my way,1
and then there all all those weasels ripping my flesh rzz ! rzz !,1
"have you seen the reference to their claim , you moron'' \? \? this is not a source it s their pov once i have more time i will reduce your pashtun nationalist povs here on wiki and give order to my uncles and cousins the execution of pashtuns in the entire northern afghanistan down to gardez , jalalabad , lashkargah , logar , paghman , laghman , kunduz , herat , farah whereever immigrant descandants of violent kuchis settled and took non pashtun lands away and traditional tajik countries num num num num",1
bryan holt is the worst ride operator at knott's he has attention deficit disorder and he acts like a know it all !,1
removing irrelevant nonsense ad hominem attack in place of reasonable argument shows the bankruptcy of those who which to silence me more you do more persistent i will be come,1
"stop wanking so much remember , only lotion prevents friction burn",1
coi you truly are a nasty piece of work i suggest you leave northwest alone and heed his warnings,1
"by the way , montanabw , you are effectively retarded i can source everything i'm saying look for the book pleistocene mammals of north america by bj rn kurt n and elaine anderson , just for starters now that will require that you read something other than a webpage \( actually , you can read part of it online even \) there are many sources on equine evolution and taxonomy i'm not , however , going to hand them over to you on a silver platter while you feel unristricted in espousing your own entirely unverifiable claims here 's a suggestion read something that is n't written by people lobbying for feral horse protection you 'll get a lot more truthful information out of it i also do n't think it was you that reverted my edit of the mustang article \( not that it needed to be , there are millions of you thoroughly ignorant goons \) , i was actually looking up sources when i came back and saw it had already been changed and thought jesus , what 's the point \? and , once again , you 've clearly demonstrated that while you 're not at all concerned with accuracy , you still feel you have a right to comment on issues you know next to nothing about people like you , who do n't care at all about the accuracy should be banned from editing anything god bless the internet ! oh bringer of ignorantism !",1
